canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
filer_committee_id_number,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER COMMITTEE ID NUMBER,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FILER FEC CMTE ID,2,FEC COMMITTEE ID NUMBER
committee_name,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME,3,COMMITTEE NAME
street_1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET  1,4,STREET 1,4,STREET 1
street_2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET  2,5,STREET 2,5,STREET 2
city,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY,6,CITY
state,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE,7,STATE
zip,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP,8,ZIP
committee_org_type,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,COMMITTEE/ORG TYPE,9,CONVENTION TYPE
committee_org_type_other_description,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,COMMITTEE/ORG TYPE - OTHER DESCRIPTION,10,DESC  ,10,DESC  ,10,DESC  ,10,DESC  ,10,DESC  ,10,DESC  ,10,DESC  ,10,DESC  ,10,DESC IF 9 IS OTHER,10,DESC IF 9 IS OTHER
